district,558,2011,Girls Toilet ,2015,2130
district,558,2011,Boys Toilet ,2015,2118
district,558,2011,Drinking Water ,2015,2123
district,558,2011,Electricity ,2015,1937
district,558,2011,Computer ,2015,453
district,417,2011,Playground ,2015,2218
district,557,2011,Playground ,2015,2218
district,417,2011,Boundarywall ,2015,2092
district,557,2011,Boundarywall ,2015,2092
district,417,2011,Girls Toilet ,2015,3007
district,557,2011,Girls Toilet ,2015,3007
district,417,2011,Boys Toilet ,2015,3284
district,557,2011,Boys Toilet ,2015,3284
district,417,2011,Drinking Water ,2015,3561
district,557,2011,Drinking Water ,2015,3561
district,417,2011,Electricity ,2015,2840
district,557,2011,Electricity ,2015,2840
district,417,2011,Computer ,2015,894
district,557,2011,Computer ,2015,894
district,134,2011,Playground ,2015,4574
district,134,2011,Boundarywall ,2015,3978
district,134,2011,Girls Toilet ,2015,5055
district,134,2011,Boys Toilet ,2015,4999
district,134,2011,Drinking Water ,2015,5099
district,134,2011,Electricity ,2015,2368
district,134,2011,Computer ,2015,562
district,101,2011,Playground ,2015,1610
district,101,2011,Boundarywall ,2015,2703
district,101,2011,Girls Toilet ,2015,3151
district,101,2011,Boys Toilet ,2015,3226
district,101,2011,Drinking Water ,2015,3258
district,101,2011,Electricity ,2015,1733
district,101,2011,Computer ,2015,1026
district,30,2011,Playground ,2015,1648
district,406,2011,Playground ,2015,1648
district,30,2011,Boundarywall ,2015,2367
district,406,2011,Boundarywall ,2015,2367
district,30,2011,Girls Toilet ,2015,3954
district,406,2011,Girls Toilet ,2015,3954
district,30,2011,Boys Toilet ,2015,4031
district,406,2011,Boys Toilet ,2015,4031
district,30,2011,Drinking Water ,2015,4167
district,406,2011,Drinking Water ,2015,4167
district,30,2011,Electricity ,2015,2417
district,406,2011,Electricity ,2015,2417
district,30,2011,Computer ,2015,453
district,406,2011,Computer ,2015,453
district,334,2011,Playground ,2015,1648
district,334,2011,Boundarywall ,2015,2367
district,334,2011,Girls Toilet ,2015,3954
district,334,2011,Boys Toilet ,2015,4031
district,334,2011,Drinking Water ,2015,4167
district,334,2011,Electricity ,2015,2417
district,334,2011,Computer ,2015,453
district,275,2011,Playground ,2015,203
district,275,2011,Boundarywall ,2015,152
district,275,2011,Girls Toilet ,2015,357
district,275,2011,Boys Toilet ,2015,353
district,275,2011,Drinking Water ,2015,348
district,275,2011,Electricity ,2015,144
district,275,2011,Computer ,2015,117
district,355,2011,Playground ,2015,721
district,355,2011,Boundarywall ,2015,1174
district,355,2011,Girls Toilet ,2015,1921
district,355,2011,Boys Toilet ,2015,2080
district,355,2011,Drinking Water ,2015,2259
district,355,2011,Electricity ,2015,499
district,355,2011,Computer ,2015,329
district,319,2011,Playground ,2015,930
district,319,2011,Boundarywall ,2015,255
district,319,2011,Girls Toilet ,2015,526
district,319,2011,Boys Toilet ,2015,877
district,319,2011,Drinking Water ,2015,1188
district,319,2011,Electricity ,2015,230
district,319,2011,Computer ,2015,118
district,149,2011,Playground ,2015,2218
district,149,2011,Boundarywall ,2015,2309
district,149,2011,Girls Toilet ,2015,3318
district,149,2011,Boys Toilet ,2015,3308
